loan_id,origination_month,original_balance,funded_balance,interest_rate,original_term,installment,credit_score,credit_score_band,dti,dti_band,annual_income,employment_length,home_ownership,loan_purpose,state,revolving_utilization,delinquencies_2yrs,inquiries_6m,total_accounts,servicer_name,document_status
LC_1000015,2015-02,25000.0,25000.0,26.06,60,749.4,717.0,Near Prime,11.64,<20%,33500.0,10,MORTGAGE,debt_consolidation,CO,36.4,0,0,30,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000016,2016-09,15000.0,15000.0,29.37,36,631.61,642.0,Subprime,14.45,<20%,38200.0,3,RENT,debt_consolidation,AZ,50.5,0,1,9,Intain_Servicing_Alpha,UNVERIFIED
LC_1000017,2017-10,15000.0,15000.0,18.38,60,384.01,732.0,Near Prime,9.72,<20%,34900.0,0,RENT,debt_consolidation,NC,30.8,0,2,10,Apex_Loan_Servicing,SOURCE_VERIFIED
LC_1000018,2016-07,15000.0,15000.0,22.15,36,574.02,707.0,Near Prime,42.21,35-50%,55400.0,10,MORTGAGE,home_improvement,CA,70.2,2,2,3,Apex_Loan_Servicing,VERIFIED
LC_1000019,2016-02,10000.0,10000.0,16.51,36,354.09,737.0,Near Prime,17.88,<20%,254400.0,10,MORTGAGE,debt_consolidation,CA,36.0,0,1,32,Intain_Servicing_Alpha,VERIFIED
LC_1000020,2017-01,7500.0,7500.0,20.78,36,281.72,677.0,Near Prime,14.73,<20%,73700.0,8,RENT,debt_consolidation,NJ,41.1,0,1,3,Apex_Loan_Servicing,VERIFIED
LC_1000021,2015-05,15000.0,15000.0,22.55,36,577.13,687.0,Near Prime,16.26,<20%,19900.0,10,MORTGAGE,credit_card,FL,72.6,0,0,17,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000022,2016-12,7500.0,7500.0,19.12,60,195.05,737.0,Near Prime,13.22,<20%,54400.0,2,OWN,credit_card,NJ,90.6,0,3,17,Intain_Servicing_Alpha,UNVERIFIED
LC_1000023,2016-01,12000.0,12000.0,19.97,60,317.73,747.0,Prime,7.36,<20%,30300.0,3,RENT,credit_card,OH,56.7,1,2,25,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000024,2017-09,10000.0,10000.0,27.13,36,408.95,667.0,Subprime,29.5,20-35%,32800.0,2,RENT,debt_consolidation,TX,45.2,1,2,24,Apex_Loan_Servicing,UNVERIFIED
LC_1000025,2018-03,20000.0,20000.0,23.21,36,776.39,687.0,Near Prime,28.22,20-35%,47900.0,10,MORTGAGE,debt_consolidation,TX,75.4,0,1,28,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000026,2015-02,25000.0,25000.0,25.87,36,1005.54,667.0,Subprime,34.03,20-35%,87100.0,2,OWN,home_improvement,OH,1.5,0,1,48,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000027,2017-06,18000.0,18000.0,18.9,60,465.94,737.0,Near Prime,18.49,<20%,95400.0,10,RENT,debt_consolidation,CA,73.2,0,0,33,Apex_Loan_Servicing,VERIFIED
LC_1000028,2017-03,15000.0,15000.0,21.59,36,569.68,717.0,Near Prime,18.82,<20%,105000.0,10,MORTGAGE,debt_consolidation,CO,74.0,0,0,3,Apex_Loan_Servicing,VERIFIED
LC_1000029,2015-05,40000.0,40000.0,20.45,36,1495.73,727.0,Near Prime,17.77,<20%,37600.0,10,RENT,debt_consolidation,CA,46.1,0,0,39,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000030,2017-10,5000.0,5000.0,22.97,36,193.47,702.0,Near Prime,27.12,20-35%,107700.0,2,RENT,debt_consolidation,GA,93.6,0,0,31,Apex_Loan_Servicing,VERIFIED
LC_1000031,2015-08,12000.0,12000.0,29.17,60,382.15,642.0,Subprime,10.96,<20%,48900.0,10,MORTGAGE,debt_consolidation,TX,88.9,2,0,30,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000032,2015-10,10000.0,10000.0,25.0,36,397.6,677.0,Near Prime,12.73,<20%,101100.0,2,RENT,credit_card,TX,41.0,0,0,10,Intain_Servicing_Alpha,UNVERIFIED
LC_1000033,2018-02,12000.0,12000.0,25.31,36,479.09,697.0,Near Prime,17.0,<20%,71400.0,0,OWN,home_improvement,AZ,84.1,0,0,15,Summit_Asset_Management,VERIFIED
LC_1000034,2018-12,10000.0,10000.0,25.29,36,399.13,657.0,Subprime,10.13,<20%,171000.0,10,OWN,credit_card,PA,88.9,0,1,36,Summit_Asset_Management,SOURCE_VERIFIED
LC_1000035,2018-05,10000.0,10000.0,27.79,36,412.5,642.0,Subprime,25.12,20-35%,45000.0,2,RENT,debt_consolidation,FL,46.1,0,0,8,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000036,2016-11,10000.0,10000.0,18.53,36,364.19,737.0,Near Prime,18.66,<20%,61700.0,10,MORTGAGE,debt_consolidation,IL,100.0,0,0,35,Intain_Servicing_Alpha,UNVERIFIED
LC_1000037,2015-08,15000.0,15000.0,27.31,60,460.81,672.0,Near Prime,10.14,<20%,138600.0,10,OWN,debt_consolidation,FL,50.2,0,4,3,Intain_Servicing_Alpha,VERIFIED
LC_1000038,2017-01,15000.0,15000.0,20.04,60,397.74,722.0,Near Prime,14.09,<20%,68000.0,1,MORTGAGE,debt_consolidation,PA,100.0,0,1,22,Beacon_Credit_Ops,VERIFIED
LC_1000039,2016-10,18000.0,18000.0,15.44,36,627.86,752.0,Prime,33.75,20-35%,46000.0,10,OTHER,debt_consolidation,FL,39.4,0,0,22,Apex_Loan_Servicing,UNVERIFIED
LC_1000040,2015-10,15000.0,15000.0,24.95,36,596.0,682.0,Near Prime,21.78,20-35%,60000.0,10,RENT,debt_consolidation,CA,55.5,0,0,19,Intain_Servicing_Alpha,UNVERIFIED
LC_1000041,2017-11,10000.0,10000.0,20.13,36,372.3,702.0,Near Prime,9.49,<20%,174700.0,10,RENT,debt_consolidation,FL,0.0,2,1,35,Apex_Loan_Servicing,SOURCE_VERIFIED
LC_1000042,2015-12,25000.0,25000.0,22.19,60,693.18,727.0,Near Prime,21.08,20-35%,29600.0,9,RENT,debt_consolidation,NY,27.4,0,0,3,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000043,2018-12,15000.0,15000.0,24.96,60,439.92,692.0,Near Prime,3.86,<20%,57300.0,0,RENT,debt_consolidation,WA,55.1,0,1,18,Summit_Asset_Management,SOURCE_VERIFIED
LC_1000044,2016-04,10000.0,10000.0,22.77,36,385.9,707.0,Near Prime,3.42,<20%,108800.0,7,MORTGAGE,credit_card,OH,75.5,0,2,17,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000045,2017-05,10000.0,10000.0,21.98,60,276.08,732.0,Near Prime,7.03,<20%,66200.0,10,MORTGAGE,debt_consolidation,AZ,77.8,0,0,3,Beacon_Credit_Ops,UNVERIFIED
LC_1000046,2016-10,25000.0,25000.0,27.35,36,1025.33,642.0,Subprime,9.87,<20%,157600.0,10,MORTGAGE,credit_card,GA,47.9,0,1,5,Intain_Servicing_Alpha,UNVERIFIED
LC_1000047,2017-12,20000.0,20000.0,16.13,36,704.42,762.0,Prime,17.94,<20%,50300.0,5,MORTGAGE,debt_consolidation,CA,81.1,0,1,29,Apex_Loan_Servicing,VERIFIED
LC_1000048,2017-11,15000.0,15000.0,21.93,36,572.31,717.0,Near Prime,9.65,<20%,82700.0,6,RENT,debt_consolidation,CA,18.0,0,0,25,Apex_Loan_Servicing,SOURCE_VERIFIED
LC_1000049,2015-03,12000.0,12000.0,21.97,60,331.22,712.0,Near Prime,32.17,20-35%,145900.0,4,RENT,debt_consolidation,CO,67.9,0,1,17,Intain_Servicing_Alpha,UNVERIFIED
LC_1000050,2018-12,15000.0,15000.0,23.4,36,583.78,707.0,Near Prime,11.27,<20%,122100.0,10,MORTGAGE,debt_consolidation,WA,80.8,0,0,26,Summit_Asset_Management,SOURCE_VERIFIED
LC_1000051,2018-02,18000.0,18000.0,17.73,36,648.31,762.0,Prime,8.85,<20%,28700.0,4,OWN,medical,VA,62.4,0,2,33,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000052,2018-12,25000.0,25000.0,23.17,36,969.96,657.0,Subprime,4.99,<20%,133600.0,5,RENT,debt_consolidation,PA,69.0,0,0,13,Summit_Asset_Management,UNVERIFIED
LC_1000053,2018-03,18000.0,18000.0,17.74,36,648.4,722.0,Near Prime,14.05,<20%,67900.0,5,MORTGAGE,other,AZ,76.9,0,1,30,Summit_Asset_Management,UNVERIFIED
LC_1000054,2017-11,10000.0,10000.0,14.66,36,344.99,747.0,Prime,31.58,20-35%,42500.0,10,RENT,credit_card,TX,28.1,1,0,14,Apex_Loan_Servicing,SOURCE_VERIFIED
LC_1000055,2018-05,5000.0,5000.0,18.61,36,182.3,747.0,Prime,19.15,<20%,47200.0,0,RENT,debt_consolidation,TX,83.2,0,0,28,Summit_Asset_Management,VERIFIED
LC_1000056,2015-07,10000.0,10000.0,18.18,36,362.43,732.0,Near Prime,7.64,<20%,43800.0,4,RENT,debt_consolidation,NC,40.9,0,1,48,Intain_Servicing_Alpha,UNVERIFIED
LC_1000057,2015-02,20000.0,20000.0,25.27,60,590.2,687.0,Near Prime,40.14,35-50%,39900.0,0,RENT,home_improvement,TX,29.3,0,2,16,Intain_Servicing_Alpha,UNVERIFIED
LC_1000058,2015-07,10000.0,10000.0,23.51,60,284.84,727.0,Near Prime,8.64,<20%,127800.0,2,MORTGAGE,credit_card,WA,20.8,0,1,19,Intain_Servicing_Alpha,UNVERIFIED
LC_1000059,2016-06,15000.0,15000.0,18.56,36,546.51,732.0,Near Prime,15.44,<20%,199800.0,2,RENT,debt_consolidation,CA,58.0,0,1,22,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000060,2016-07,20000.0,20000.0,24.25,60,578.27,712.0,Near Prime,2.96,<20%,68800.0,10,MORTGAGE,debt_consolidation,WA,55.9,0,0,21,Intain_Servicing_Alpha,VERIFIED
LC_1000061,2016-07,12000.0,12000.0,24.13,60,346.12,682.0,Near Prime,26.98,20-35%,152700.0,4,OWN,debt_consolidation,FL,26.3,0,1,28,Intain_Servicing_Alpha,VERIFIED
LC_1000062,2018-09,20000.0,20000.0,21.04,36,753.91,702.0,Near Prime,18.03,<20%,129400.0,4,RENT,debt_consolidation,CA,0.0,0,0,15,Beacon_Credit_Ops,UNVERIFIED
LC_1000063,2016-07,18000.0,18000.0,25.77,36,723.03,702.0,Near Prime,27.78,20-35%,36300.0,10,RENT,other,NY,48.8,0,0,33,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000064,2016-12,15000.0,15000.0,22.66,36,577.99,677.0,Near Prime,23.06,20-35%,58800.0,5,RENT,debt_consolidation,CO,40.1,0,1,35,Intain_Servicing_Alpha,UNVERIFIED
LC_1000065,2017-06,30000.0,30000.0,19.85,36,1112.62,727.0,Near Prime,4.31,<20%,125000.0,10,MORTGAGE,debt_consolidation,WA,0.7,2,1,11,Apex_Loan_Servicing,SOURCE_VERIFIED
LC_1000066,2015-10,20000.0,20000.0,21.21,60,543.43,712.0,Near Prime,8.82,<20%,122700.0,10,OWN,credit_card,CA,48.5,0,0,13,Intain_Servicing_Alpha,VERIFIED
LC_1000067,2018-08,12000.0,12000.0,15.27,36,417.57,762.0,Prime,12.02,<20%,39400.0,3,MORTGAGE,debt_consolidation,NY,14.9,0,0,13,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000068,2015-07,25000.0,25000.0,25.85,36,1005.27,672.0,Near Prime,45.0,35-50%,32000.0,10,RENT,debt_consolidation,IL,58.1,3,1,24,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000069,2018-06,20000.0,20000.0,19.84,36,741.64,707.0,Near Prime,21.39,20-35%,100300.0,5,RENT,credit_card,VA,71.7,0,0,3,Summit_Asset_Management,UNVERIFIED
LC_1000070,2018-04,25000.0,25000.0,17.88,36,902.31,747.0,Prime,30.21,20-35%,45600.0,3,MORTGAGE,debt_consolidation,CA,39.0,0,0,16,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000071,2015-07,18000.0,18000.0,24.51,36,711.02,682.0,Near Prime,17.55,<20%,66100.0,10,RENT,debt_consolidation,CO,66.7,0,0,27,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000072,2015-12,12000.0,12000.0,27.93,36,495.91,657.0,Subprime,19.91,<20%,50600.0,4,RENT,debt_consolidation,OH,39.6,0,0,19,Intain_Servicing_Alpha,UNVERIFIED
LC_1000073,2018-08,12000.0,12000.0,19.72,60,316.06,722.0,Near Prime,21.36,20-35%,47000.0,10,RENT,debt_consolidation,NY,44.8,0,4,50,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000074,2017-08,20000.0,20000.0,29.55,60,641.55,642.0,Subprime,5.89,<20%,64900.0,10,RENT,credit_card,IL,92.8,0,0,46,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000075,2017-12,7500.0,7500.0,19.02,36,275.0,727.0,Near Prime,4.35,<20%,89200.0,1,RENT,debt_consolidation,CO,76.3,0,0,5,Beacon_Credit_Ops,VERIFIED
LC_1000076,2018-12,25000.0,25000.0,26.44,36,1013.13,642.0,Subprime,8.14,<20%,226900.0,0,RENT,debt_consolidation,NJ,30.8,0,0,15,Beacon_Credit_Ops,VERIFIED
LC_1000077,2015-04,12000.0,12000.0,24.19,60,346.54,712.0,Near Prime,7.05,<20%,39200.0,0,OWN,debt_consolidation,NY,50.1,0,1,32,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000078,2016-10,18000.0,18000.0,15.85,36,631.49,747.0,Prime,21.53,20-35%,45900.0,6,MORTGAGE,credit_card,VA,100.0,0,0,43,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000079,2015-09,15000.0,15000.0,23.58,36,585.19,702.0,Near Prime,17.25,<20%,48400.0,2,RENT,credit_card,CA,44.1,3,2,12,Intain_Servicing_Alpha,VERIFIED
LC_1000080,2018-03,15000.0,15000.0,17.57,36,539.06,712.0,Near Prime,21.85,20-35%,82800.0,3,RENT,debt_consolidation,FL,34.6,0,1,36,Summit_Asset_Management,SOURCE_VERIFIED
LC_1000081,2017-09,20000.0,20000.0,24.55,36,790.44,692.0,Near Prime,14.6,<20%,40300.0,2,MORTGAGE,home_improvement,TX,54.4,2,1,3,Apex_Loan_Servicing,VERIFIED
LC_1000082,2016-03,18000.0,18000.0,14.01,36,615.28,757.0,Prime,10.42,<20%,82600.0,3,MORTGAGE,debt_consolidation,VA,48.4,0,0,38,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000083,2015-07,10000.0,10000.0,26.78,60,304.04,682.0,Near Prime,4.29,<20%,21100.0,10,RENT,debt_consolidation,NY,2.9,0,0,25,Intain_Servicing_Alpha,UNVERIFIED
LC_1000084,2016-04,5000.0,5000.0,17.62,36,179.81,762.0,Prime,20.49,20-35%,35100.0,4,MORTGAGE,debt_consolidation,CA,41.7,2,0,27,Intain_Servicing_Alpha,UNVERIFIED
LC_1000085,2016-05,25000.0,25000.0,20.51,36,935.6,722.0,Near Prime,18.39,<20%,60600.0,3,MORTGAGE,other,PA,44.9,0,0,27,Intain_Servicing_Alpha,VERIFIED
LC_1000086,2017-03,30000.0,30000.0,17.28,36,1073.77,722.0,Near Prime,27.25,20-35%,42600.0,3,RENT,debt_consolidation,TX,28.2,0,2,5,Beacon_Credit_Ops,VERIFIED
LC_1000087,2017-02,10000.0,10000.0,24.21,60,288.9,742.0,Prime,8.5,<20%,104400.0,6,MORTGAGE,debt_consolidation,TX,57.5,0,4,24,Apex_Loan_Servicing,VERIFIED
LC_1000088,2018-12,12000.0,12000.0,20.09,36,446.51,677.0,Near Prime,10.76,<20%,58400.0,4,RENT,debt_consolidation,MI,70.7,0,0,16,Summit_Asset_Management,SOURCE_VERIFIED
LC_1000089,2017-08,10000.0,10000.0,21.28,60,272.11,722.0,Near Prime,35.3,35-50%,43500.0,3,RENT,medical,PA,15.2,0,1,32,Apex_Loan_Servicing,SOURCE_VERIFIED
LC_1000090,2015-07,30000.0,30000.0,23.9,36,1175.41,672.0,Near Prime,19.75,<20%,60200.0,10,RENT,credit_card,NC,54.2,0,0,15,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000091,2017-07,10000.0,10000.0,13.08,36,337.32,767.0,Prime,9.8,<20%,87900.0,1,OWN,credit_card,IL,34.1,0,1,51,Beacon_Credit_Ops,UNVERIFIED
LC_1000092,2018-08,10000.0,10000.0,27.14,60,306.19,707.0,Near Prime,6.11,<20%,124800.0,10,RENT,debt_consolidation,PA,46.9,0,0,33,Beacon_Credit_Ops,VERIFIED
LC_1000093,2017-01,10000.0,10000.0,20.7,60,268.85,727.0,Near Prime,21.73,20-35%,95200.0,6,MORTGAGE,major_purchase,OH,26.3,0,0,36,Apex_Loan_Servicing,UNVERIFIED
LC_1000094,2018-12,20000.0,20000.0,14.67,60,472.34,782.0,Prime,14.7,<20%,89300.0,1,MORTGAGE,credit_card,PA,22.2,0,0,40,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000095,2017-08,30000.0,30000.0,14.8,36,1037.02,747.0,Prime,12.62,<20%,159200.0,10,RENT,home_improvement,NC,74.6,4,1,39,Apex_Loan_Servicing,SOURCE_VERIFIED
LC_1000096,2017-10,15000.0,15000.0,26.26,60,451.42,707.0,Near Prime,6.67,<20%,28100.0,8,RENT,debt_consolidation,FL,43.5,0,0,15,Apex_Loan_Servicing,VERIFIED
LC_1000097,2016-12,7500.0,7500.0,13.46,36,254.37,797.0,Prime,19.89,<20%,70500.0,1,MORTGAGE,debt_consolidation,TX,40.6,0,3,33,Apex_Loan_Servicing,VERIFIED
LC_1000098,2015-05,18000.0,18000.0,25.58,36,721.21,672.0,Near Prime,12.01,<20%,60900.0,3,RENT,debt_consolidation,NY,11.3,0,4,24,Intain_Servicing_Alpha,VERIFIED
LC_1000099,2015-08,10000.0,10000.0,25.02,36,397.7,692.0,Near Prime,17.47,<20%,75500.0,6,RENT,debt_consolidation,CA,52.5,0,3,13,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000100,2015-09,5000.0,5000.0,24.15,36,196.56,717.0,Near Prime,7.24,<20%,52200.0,10,MORTGAGE,credit_card,NC,48.1,0,0,11,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000101,2017-02,30000.0,30000.0,23.05,36,1162.07,682.0,Near Prime,2.62,<20%,61500.0,0,RENT,credit_card,TX,24.5,0,0,25,Apex_Loan_Servicing,UNVERIFIED
LC_1000102,2016-03,25000.0,25000.0,21.11,36,943.29,712.0,Near Prime,9.79,<20%,95800.0,9,MORTGAGE,debt_consolidation,CA,53.0,1,1,24,Intain_Servicing_Alpha,VERIFIED
LC_1000103,2017-06,35000.0,35000.0,26.16,60,1051.23,677.0,Near Prime,11.35,<20%,108400.0,8,MORTGAGE,credit_card,FL,12.9,0,0,33,Apex_Loan_Servicing,SOURCE_VERIFIED
LC_1000104,2018-09,15000.0,15000.0,21.85,36,571.69,707.0,Near Prime,9.51,<20%,58100.0,5,RENT,debt_consolidation,AZ,57.4,2,1,30,Summit_Asset_Management,SOURCE_VERIFIED
LC_1000105,2016-10,12000.0,12000.0,21.51,36,455.25,672.0,Near Prime,5.22,<20%,31700.0,9,OWN,debt_consolidation,FL,75.7,2,0,27,Intain_Servicing_Alpha,VERIFIED
LC_1000106,2016-10,20000.0,20000.0,25.94,60,598.1,672.0,Near Prime,12.64,<20%,128700.0,2,MORTGAGE,debt_consolidation,MI,36.1,0,1,10,Apex_Loan_Servicing,UNVERIFIED
LC_1000107,2018-08,10000.0,10000.0,16.97,36,356.38,742.0,Prime,7.03,<20%,46500.0,7,MORTGAGE,debt_consolidation,CA,44.6,0,1,24,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000108,2016-06,10000.0,10000.0,20.45,36,373.93,732.0,Near Prime,18.95,<20%,33200.0,10,RENT,credit_card,MA,26.0,0,2,3,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000109,2015-05,10000.0,10000.0,22.96,36,386.89,677.0,Near Prime,14.53,<20%,80400.0,5,MORTGAGE,credit_card,FL,11.3,0,2,16,Intain_Servicing_Alpha,VERIFIED
LC_1000110,2016-03,35000.0,35000.0,25.07,36,1392.89,697.0,Near Prime,24.97,20-35%,81800.0,2,MORTGAGE,credit_card,NY,72.7,0,0,34,Intain_Servicing_Alpha,VERIFIED
LC_1000111,2015-12,20000.0,20000.0,15.08,36,694.09,757.0,Prime,19.83,<20%,141400.0,4,OTHER,home_improvement,MI,41.2,0,2,31,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000112,2018-04,7500.0,7500.0,22.15,36,287.01,712.0,Near Prime,20.98,20-35%,57200.0,0,MORTGAGE,debt_consolidation,MA,74.1,0,1,13,Summit_Asset_Management,SOURCE_VERIFIED
LC_1000113,2018-07,7500.0,7500.0,23.93,36,293.97,682.0,Near Prime,20.31,20-35%,76600.0,0,MORTGAGE,home_improvement,NY,35.8,0,0,37,Beacon_Credit_Ops,VERIFIED
LC_1000114,2017-07,25000.0,25000.0,24.3,60,723.56,697.0,Near Prime,19.74,<20%,81300.0,10,MORTGAGE,debt_consolidation,NY,30.0,0,0,16,Apex_Loan_Servicing,UNVERIFIED
LC_1000115,2018-03,25000.0,25000.0,23.73,60,715.29,702.0,Near Prime,8.5,<20%,54400.0,5,RENT,debt_consolidation,CO,17.0,0,0,30,Summit_Asset_Management,UNVERIFIED
LC_1000116,2018-04,20000.0,20000.0,26.14,36,807.3,672.0,Near Prime,10.68,<20%,53200.0,0,RENT,debt_consolidation,OH,34.1,0,0,22,Beacon_Credit_Ops,VERIFIED
LC_1000117,2015-03,10000.0,10000.0,22.58,60,279.5,712.0,Near Prime,34.79,20-35%,132100.0,8,RENT,other,IL,63.6,0,1,12,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000118,2018-02,15000.0,15000.0,21.68,36,570.38,722.0,Near Prime,23.98,20-35%,50200.0,3,RENT,debt_consolidation,TX,85.1,0,0,23,Summit_Asset_Management,SOURCE_VERIFIED
LC_1000119,2017-06,18000.0,18000.0,18.52,36,655.45,737.0,Near Prime,14.45,<20%,48200.0,10,MORTGAGE,medical,NY,35.8,0,0,3,Apex_Loan_Servicing,VERIFIED
LC_1000120,2018-07,30000.0,30000.0,25.77,60,894.13,702.0,Near Prime,29.91,20-35%,143400.0,10,OWN,debt_consolidation,VA,34.9,0,0,21,Beacon_Credit_Ops,SOURCE_VERIFIED
LC_1000121,2018-04,10000.0,10000.0,21.84,36,381.08,677.0,Near Prime,27.84,20-35%,30800.0,5,OWN,debt_consolidation,IL,71.3,0,0,24,Summit_Asset_Management,UNVERIFIED
LC_1000122,2016-05,15000.0,15000.0,17.44,36,538.08,717.0,Near Prime,12.24,<20%,98000.0,8,RENT,debt_consolidation,CA,34.8,0,1,39,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000123,2015-08,10000.0,10000.0,19.47,36,368.94,717.0,Near Prime,8.99,<20%,120000.0,10,MORTGAGE,debt_consolidation,IL,79.2,1,0,45,Intain_Servicing_Alpha,SOURCE_VERIFIED
LC_1000124,2016-09,15000.0,15000.0,28.42,60,470.85,677.0,Near Prime,5.94,<20%,33100.0,10,MORTGAGE,credit_card,TX,81.0,0,2,15,Intain_Servicing_Alpha,VERIFIED
LC_1000125,2016-07,10000.0,10000.0,21.08,36,377.16,727.0,Near Prime,3.47,<20%,45800.0,10,MORTGAGE,debt_consolidation,MI,37.8,0,2,16,Apex_Loan_Servicing,SOURCE_VERIFIED
LC_1000126,2018-10,25000.0,25000.0,17.05,36,891.94,762.0,Prime,16.55,<20%,52300.0,9,MORTGAGE,credit_card,IL,46.4,0,0,11,Beacon_Credit_Ops,VERIFIED
LC_1000127,2018-01,10000.0,10000.0,22.15,60,277.04,752.0,Prime,17.86,<20%,150300.0,10,MORTGAGE,debt_consolidation,FL,49.9,0,0,13,Summit_Asset_Management,VERIFIED
LC_1000128,2015-11,15000.0,15000.0,29.26,36,630.71,652.0,Subprime,4.97,<20%,91800.0,5,RENT,credit_card,PA,67.5,0,0,27,Intain_Servicing_Alpha,VERIFIED
LC_1000129,2017-03,15000.0,15000.0,15.86,36,526.32,742.0,Prime,8.77,<20%,132400.0,2,MORTGAGE,credit_card,AZ,38.5,0,1,3,Apex_Loan_Servicing,SOURCE_VERIFIED
