loan_id,reporting_month,month_index,loan_age_months,remaining_term_months,current_balance,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,next_state,next_3m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag
LC_1013640,2017-11,2,2,58,17540.6,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1013640,2017-12,3,3,57,17380.84,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1013640,2018-01,4,4,56,17217.65,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1013640,2018-02,5,5,55,17050.95,CURRENT,0,0,0,0,DELINQUENT_30,1,1,0
LC_1013640,2018-03,6,6,54,17050.95,DELINQUENT_30,30,0,0,0,DELINQUENT_30,1,1,0
LC_1013640,2018-04,7,7,53,17050.95,DELINQUENT_30,30,0,0,0,DELINQUENT_60,1,1,0
LC_1013640,2018-05,8,8,52,17050.95,DELINQUENT_60,60,0,0,0,CURRENT,0,1,0
LC_1013640,2018-06,9,9,51,17050.95,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1013640,2018-07,10,10,50,16880.67,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1013640,2018-08,11,11,49,16706.74,CURRENT,0,0,0,0,CURRENT,1,1,0
LC_1013640,2018-09,12,12,48,16529.06,CURRENT,0,0,0,0,CURRENT,1,1,0
LC_1013640,2018-10,13,13,47,16347.57,CURRENT,0,0,0,0,DELINQUENT_30,1,1,0
LC_1013640,2018-11,14,14,46,16347.57,DELINQUENT_30,30,0,0,0,DELINQUENT_60,1,1,0
LC_1013640,2018-12,15,15,45,16347.57,DELINQUENT_60,60,0,0,0,DELINQUENT_90,1,1,0
LC_1013640,2019-01,16,16,44,16347.57,DELINQUENT_90,90,0,0,0,DEFAULT,1,1,0
LC_1013640,2019-02,17,17,43,0.0,DEFAULT,120,0,0,1,DEFAULT,0,0,0
LC_1014018,2018-05,0,0,36,14716.69,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1014018,2018-06,1,1,35,14427.46,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1014018,2018-07,2,2,34,14132.16,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1014018,2018-08,3,3,33,13830.68,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1014018,2018-09,4,4,32,13522.89,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1014018,2018-10,5,5,31,13208.65,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1014018,2018-11,6,6,30,12887.83,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1014018,2018-12,7,7,29,12560.3,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1014018,2019-01,8,8,28,12225.9,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1014018,2019-02,9,9,27,11884.5,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1014018,2019-03,10,10,26,11535.95,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1014018,2019-04,11,11,25,11180.1,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1014018,2019-05,12,12,24,10816.8,CURRENT,0,0,0,0,CURRENT,1,1,0
LC_1014018,2019-06,13,13,23,10445.9,CURRENT,0,0,0,0,CURRENT,1,1,0
LC_1014018,2019-07,14,14,22,10067.22,CURRENT,0,0,0,0,DELINQUENT_30,1,1,0
LC_1014018,2019-08,15,15,21,10067.22,DELINQUENT_30,30,0,0,0,CURRENT,1,1,0
LC_1014018,2019-09,16,16,20,10067.22,CURRENT,0,0,0,0,DELINQUENT_30,1,1,0
LC_1014018,2019-10,17,17,19,10067.22,DELINQUENT_30,30,0,0,0,DELINQUENT_60,1,1,0
LC_1014018,2019-11,18,18,18,10067.22,DELINQUENT_60,60,0,0,0,DELINQUENT_90,1,1,0
LC_1014018,2019-12,19,19,17,10067.22,DELINQUENT_90,90,0,0,0,DEFAULT,1,1,0
LC_1014018,2020-01,20,20,16,0.0,DEFAULT,120,0,0,1,DEFAULT,0,0,0
LC_1007488,2017-09,0,0,36,9798.12,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2017-10,1,1,35,9592.71,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2017-11,2,2,34,9383.71,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2017-12,3,3,33,9171.06,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-01,4,4,32,8954.7,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-02,5,5,31,8734.56,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-03,6,6,30,8510.57,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-04,7,7,29,8282.67,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-05,8,8,28,8050.79,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-06,9,9,27,7814.86,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-07,10,10,26,7574.81,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-08,11,11,25,7330.57,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-09,12,12,24,7082.06,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-10,13,13,23,6829.21,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-11,14,14,22,6571.95,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2018-12,15,15,21,6310.19,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2019-01,16,16,20,6043.85,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2019-02,17,17,19,5772.87,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2019-03,18,18,18,5497.15,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1007488,2019-04,19,19,17,5216.62,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1007488,2019-05,20,20,16,4931.19,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1007488,2019-06,21,21,15,4640.77,CURRENT,0,0,0,0,DELINQUENT_30,1,0,0
LC_1007488,2019-07,22,22,14,4640.77,DELINQUENT_30,30,0,0,0,DELINQUENT_60,1,0,0
LC_1007488,2019-08,23,23,13,4640.77,DELINQUENT_60,60,0,0,0,DELINQUENT_60,0,0,0
LC_1005804,2016-05,0,0,36,11767.31,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2016-06,1,1,35,11530.07,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2016-07,2,2,34,11288.18,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2016-08,3,3,33,11041.55,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2016-09,4,4,32,10790.1,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2016-10,5,5,31,10533.73,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2016-11,6,6,30,10272.33,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2016-12,7,7,29,10005.83,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2017-01,8,8,28,9734.1,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2017-02,9,9,27,9457.05,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2017-03,10,10,26,9174.59,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2017-04,11,11,25,8886.59,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1005804,2017-05,12,12,24,8592.95,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1005804,2017-06,13,13,23,8293.57,CURRENT,0,0,0,0,DELINQUENT_30,1,0,0
LC_1005804,2017-07,14,14,22,8293.57,DELINQUENT_30,30,0,0,0,DELINQUENT_60,1,0,0
LC_1005804,2017-08,15,15,21,8293.57,DELINQUENT_60,60,0,0,0,CURRENT,0,0,0
LC_1005804,2017-09,16,16,20,8293.57,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2017-10,17,17,19,7988.33,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2017-11,18,18,18,7677.11,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2017-12,19,19,17,7359.8,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2018-01,20,20,16,7036.28,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2018-02,21,21,15,6706.42,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2018-03,22,22,14,6370.11,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1005804,2018-04,23,23,13,6027.21,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1012909,2018-07,0,0,36,9808.35,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1012909,2018-08,1,1,35,9612.84,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1012909,2018-09,2,2,34,9413.38,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1012909,2018-10,3,3,33,9209.89,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1012909,2018-11,4,4,32,9002.3,CURRENT,0,0,0,0,CURRENT,0,1,0
LC_1012909,2018-12,5,5,31,8790.51,CURRENT,0,0,0,0,CURRENT,1,1,0
LC_1012909,2019-01,6,6,30,8574.46,CURRENT,0,0,0,0,CURRENT,1,1,0
LC_1012909,2019-02,7,7,29,8354.04,CURRENT,0,0,0,0,DELINQUENT_30,1,1,0
LC_1012909,2019-03,8,8,28,8354.04,DELINQUENT_30,30,0,0,0,DELINQUENT_60,1,1,0
LC_1012909,2019-04,9,9,27,8354.04,DELINQUENT_60,60,0,0,0,DELINQUENT_90,1,1,0
LC_1012909,2019-05,10,10,26,8354.04,DELINQUENT_90,90,1,0,0,DEFAULT,1,1,0
LC_1012909,2019-06,11,11,25,0.0,DEFAULT,120,1,0,1,DEFAULT,0,0,0
LC_1003386,2016-09,0,0,60,17824.7,CURRENT,0,0,0,0,PREPAID,0,0,1
LC_1003386,2016-10,1,1,59,0.0,PREPAID,0,0,1,0,PREPAID,0,0,0
LC_1009567,2018-05,0,0,36,29386.35,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2018-06,1,1,35,28762.41,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2018-07,2,2,34,28128.0,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2018-08,3,3,33,27482.94,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2018-09,4,4,32,26827.07,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2018-10,5,5,31,26160.19,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2018-11,6,6,30,25482.13,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2018-12,7,7,29,24792.69,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-01,8,8,28,24091.69,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-02,9,9,27,23378.93,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-03,10,10,26,22654.21,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-04,11,11,25,21917.33,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-05,12,12,24,21168.1,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-06,13,13,23,20406.29,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-07,14,14,22,19631.71,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-08,15,15,21,18844.13,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-09,16,16,20,18043.34,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-10,17,17,19,17229.12,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-11,18,18,18,16401.24,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2019-12,19,19,17,15559.47,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2020-01,20,20,16,14703.58,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2020-02,21,21,15,13833.33,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2020-03,22,22,14,12948.48,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1009567,2020-04,23,23,13,12048.79,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2017-07,0,0,36,11732.03,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2017-08,1,1,35,11460.82,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2017-09,2,2,34,11186.32,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2017-10,3,3,33,10908.51,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2017-11,4,4,32,10627.33,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2017-12,5,5,31,10342.75,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2018-01,6,6,30,10054.73,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1021423,2018-02,7,7,29,9763.22,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1021423,2018-03,8,8,28,9468.19,CURRENT,0,0,0,0,DELINQUENT_30,1,0,0
LC_1021423,2018-04,9,9,27,9468.19,DELINQUENT_30,30,0,0,0,CURRENT,1,0,0
LC_1021423,2018-05,10,10,26,9468.19,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1021423,2018-06,11,11,25,9169.58,CURRENT,0,0,0,0,DELINQUENT_30,1,0,0
LC_1021423,2018-07,12,12,24,9169.58,DELINQUENT_30,30,0,0,0,CURRENT,0,0,0
LC_1021423,2018-08,13,13,23,9169.58,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2018-09,14,14,22,8867.36,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2018-10,15,15,21,8561.49,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2018-11,16,16,20,8251.91,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2018-12,17,17,19,7938.59,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2019-01,18,18,18,7621.48,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2019-02,19,19,17,7300.53,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2019-03,20,20,16,6975.69,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2019-04,21,21,15,6646.93,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2019-05,22,22,14,6314.19,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1021423,2019-06,23,23,13,5977.42,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2015-09,0,0,36,9798.28,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2015-10,1,1,35,9593.03,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2015-11,2,2,34,9384.19,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2015-12,3,3,33,9171.69,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-01,4,4,32,8955.48,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-02,5,5,31,8735.47,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-03,6,6,30,8511.61,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-04,7,7,29,8283.84,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-05,8,8,28,8052.08,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-06,9,9,27,7816.25,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-07,10,10,26,7576.3,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-08,11,11,25,7332.15,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-09,12,12,24,7083.73,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-10,13,13,23,6830.95,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1003503,2016-11,14,14,22,6573.75,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1003503,2016-12,15,15,21,6312.04,CURRENT,0,0,0,0,CURRENT,1,0,0
LC_1003503,2017-01,16,16,20,6045.76,CURRENT,0,0,0,0,DELINQUENT_30,1,0,0
LC_1003503,2017-02,17,17,19,6045.76,DELINQUENT_30,30,0,0,0,DELINQUENT_60,1,0,0
LC_1003503,2017-03,18,18,18,6045.76,DELINQUENT_60,60,0,0,0,DELINQUENT_90,1,0,0
LC_1003503,2017-04,19,19,17,6045.76,DELINQUENT_90,90,0,0,0,DELINQUENT_90,1,0,0
LC_1003503,2017-05,20,20,16,6045.76,DELINQUENT_90,90,0,0,0,DELINQUENT_30,1,0,0
LC_1003503,2017-06,21,21,15,6045.76,DELINQUENT_30,30,0,0,0,DELINQUENT_30,1,0,0
LC_1003503,2017-07,22,22,14,6045.76,DELINQUENT_30,30,0,0,0,CURRENT,0,0,0
LC_1003503,2017-08,23,23,13,6045.76,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1006657,2016-02,0,0,36,29422.27,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-03,1,1,35,28833.02,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-04,2,2,34,28232.03,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-05,3,3,33,27619.06,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-06,4,4,32,26993.87,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-07,5,5,31,26356.22,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-08,6,6,30,25705.86,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-09,7,7,29,25042.53,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-10,8,8,28,24365.98,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-11,9,9,27,23675.95,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2016-12,10,10,26,22972.16,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1006657,2017-01,11,11,25,22254.34,CURRENT,0,0,0,0,PREPAID,0,0,1
LC_1006657,2017-02,12,12,24,0.0,PREPAID,0,0,1,0,PREPAID,0,0,0
LC_1019192,2017-07,0,0,36,11767.69,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2017-08,1,1,35,11530.81,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2017-09,2,2,34,11289.28,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2017-10,3,3,33,11043.0,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2017-11,4,4,32,10791.88,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2017-12,5,5,31,10535.82,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-01,6,6,30,10274.72,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-02,7,7,29,10008.5,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-03,8,8,28,9737.04,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-04,9,9,27,9460.24,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-05,10,10,26,9178.0,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-06,11,11,25,8890.22,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-07,12,12,24,8596.77,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-08,13,13,23,8297.56,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-09,14,14,22,7992.47,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-10,15,15,21,7681.38,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-11,16,16,20,7364.17,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2018-12,17,17,19,7040.73,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2019-01,18,18,18,6710.93,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2019-02,19,19,17,6374.64,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2019-03,20,20,16,6031.75,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2019-04,21,21,15,5682.11,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2019-05,22,22,14,5325.6,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1019192,2019-06,23,23,13,4962.08,CURRENT,0,0,0,0,CURRENT,0,0,0
LC_1002518,2017-09,0,0,36,9789.87,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1002518,2017-10,1,1,35,9576.51,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1002518,2017-11,2,2,34,9359.88,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1002518,2017-12,3,3,33,9139.93,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1002518,2018-01,4,4,32,8916.6,CURRENT,0,0,0,0,CURRENT,0,0,1
LC_1002518,2018-02,5,5,31,8689.84,CURRENT,0,0,0,0,PREPAID,0,0,1
LC_1002518,2018-03,6,6,30,0.0,PREPAID,0,0,1,0,PREPAID,0,0,0
